BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Episode1
Auftrag_Typ_1:1	01.10.2020 00:01:01.8691	01.10.2020 00:15:44.9219	14:43.0529	0.15	0.85	01.10.2020 00:33:35.2024	45.21		x	1
Auftrag_Typ_4:1	01.10.2020 00:01:02.5079	01.10.2020 00:15:44.9010	14:42.3931	0.36	0.64	01.10.2020 00:54:08.8412	27.69		x	1
Auftrag_Typ_5:1	01.10.2020 00:01:02.8858	01.10.2020 01:58:04.0887	1:57:01.2029	0.17	0.83	01.10.2020 01:36:41.2192	122.36		x	-3
Auftrag_Typ_1:2	01.10.2020 00:01:04.1959	01.10.2020 00:25:51.9019	24:47.7060	0.14	0.86	01.10.2020 00:33:37.5293	76.16		x	1
Auftrag_Typ_4:2	01.10.2020 00:01:04.4954	01.10.2020 00:28:59.2752	27:54.7798	1.00	0.00	01.10.2020 00:54:10.8288	52.56		x	1
Auftrag_Typ_5:2	01.10.2020 00:01:04.6567	01.10.2020 00:23:10.7287	22:06.0720	0.94	0.06	01.10.2020 01:36:42.9901	23.11		x	1
Auftrag_Typ_3:1	01.10.2020 00:01:04.6856	01.10.2020 00:26:21.1621	25:16.4765	0.71	0.29	01.10.2020 00:34:08.0189	76.46		x	1
Auftrag_Typ_3:2	01.10.2020 00:01:05.2499	01.10.2020 00:05:30.9941	4:25.7442	0.69	0.31	01.10.2020 00:34:08.5832	13.40		x	1
Auftrag_Typ_3:3	01.10.2020 00:01:05.2547	01.10.2020 00:58:46.5740	57:41.3193	0.06	0.94	01.10.2020 00:34:08.5881	174.52		x	-4
Auftrag_Typ_4:3	01.10.2020 00:01:05.4115	01.10.2020 02:07:39.7385	2:06:34.3270	0.22	0.78	01.10.2020 00:54:11.7448	238.34		x	-5
Auftrag_Typ_2:1	01.10.2020 00:01:05.6017	01.10.2020 00:18:15.1209	17:09.5193	0.13	0.87	01.10.2020 00:37:32.2683	47.08		x	1
Auftrag_Typ_4:4	01.10.2020 00:01:06.1223	01.10.2020 02:27:46.4856	2:26:40.3633	0.14	0.86	01.10.2020 00:54:12.4556	276.19		x	-5
Auftrag_Typ_1:3	01.10.2020 00:01:06.2392	01.10.2020 00:39:54.6887	38:48.4495	0.49	0.51	01.10.2020 00:33:39.5725	119.20		x	-3
Auftrag_Typ_5:3	01.10.2020 00:01:06.5812	01.10.2020 00:58:03.6487	56:57.0675	0.58	0.42	01.10.2020 01:36:44.9146	59.55		x	1
Auftrag_Typ_1:4	01.10.2020 00:01:07.3210	01.10.2020 00:45:46.5856	44:39.2646	0.90	0.10	01.10.2020 00:33:40.6543	137.16		x	-3
Auftrag_Typ_1:5	01.10.2020 00:01:08.4158	01.10.2020 02:31:13.7887	2:30:05.3730	0.19	0.81	01.10.2020 00:33:41.7491	461.03		x	-5
Auftrag_Typ_5:4	01.10.2020 00:01:09.4614	01.10.2020 01:43:44.7587	1:42:35.2974	0.61	0.39	01.10.2020 01:36:47.7947	107.27		x	-2
Auftrag_Typ_4:5	01.10.2020 00:01:11.4490	01.10.2020 00:33:48.1409	32:36.6919	0.35	0.65	01.10.2020 00:54:17.7824	61.41		x	1
Auftrag_Typ_1:6	01.10.2020 00:01:11.7213	01.10.2020 00:47:59.3879	46:47.6666	0.51	0.49	01.10.2020 00:33:45.0547	143.74		x	-3
Auftrag_Typ_5:5	01.10.2020 00:01:14.7397	01.10.2020 01:50:41.3002	1:49:26.5605	0.67	0.33	01.10.2020 01:36:53.0731	114.43		x	-3
Auftrag_Typ_4:6	01.10.2020 00:01:17.7687	01.10.2020 00:15:20.5621	14:02.7933	0.92	0.08	01.10.2020 00:54:24.1021	26.45		x	1
Auftrag_Typ_3:4	01.10.2020 00:01:17.9795	01.10.2020 01:45:41.4859	1:44:23.5064	0.07	0.93	01.10.2020 00:34:21.3128	315.81		x	-5
Auftrag_Typ_2:2	01.10.2020 00:01:20.4150	01.10.2020 02:01:14.2907	1:59:53.8757	0.01	0.99	01.10.2020 00:37:47.0817	328.99		x	-5
Auftrag_Typ_3:5	01.10.2020 00:01:20.4190	01.10.2020 00:16:15.8858	14:55.4668	0.17	0.83	01.10.2020 00:34:23.7524	45.15		x	1
Auftrag_Typ_6:1	01.10.2020 00:01:21.7020	01.10.2020 01:40:00.7856	1:38:39.0836	0.32	0.68	01.10.2020 01:59:55.0354	83.21		x	1
Auftrag_Typ_3:6	01.10.2020 00:01:23.5998	01.10.2020 02:07:54.4156	2:06:30.8158	0.02	0.98	01.10.2020 00:34:26.9331	382.73		x	-5
Auftrag_Typ_4:7	01.10.2020 00:01:24.2817	01.10.2020 00:17:00.7890	15:36.5073	0.67	0.33	01.10.2020 00:54:30.6150	29.39		x	1
Auftrag_Typ_2:3	01.10.2020 00:01:24.5612	01.10.2020 02:05:42.4256	2:04:17.8644	0.02	0.98	01.10.2020 00:37:51.2279	341.06		x	-5
Auftrag_Typ_3:7	01.10.2020 00:01:25.9962	01.10.2020 01:38:14.4047	1:36:48.4085	0.05	0.95	01.10.2020 00:34:29.3296	292.86		x	-5
Auftrag_Typ_1:7	01.10.2020 00:01:26.2053	01.10.2020 00:28:43.0419	27:16.8366	0.11	0.89	01.10.2020 00:33:59.5387	83.80		x	1
Auftrag_Typ_3:8	01.10.2020 00:01:30.1848	01.10.2020 02:02:03.7347	2:00:33.5499	0.03	0.97	01.10.2020 00:34:33.5182	364.72		x	-5
Auftrag_Typ_5:6	01.10.2020 00:01:30.6041	01.10.2020 02:57:10.3887	2:55:39.7846	0.32	0.68	01.10.2020 01:37:08.9374	183.67		x	-5
