Episode	Mittlere_Durchlaufzeit	Produktionsdauer	Relative_Durchlaufzeit	Termintreue
Episode1	0.0000	2:56:08.5197	144.26	146.40
Episode2	0.0000	3:02:54.1796	125.23	126.49
Episode3	0.0000	1:48:54.3313	88.39	88.12
Episode4	0.0000	2:12:36.6125	75.16	74.24
Episode5	0.0000	1:06:19.3367	63.86	62.50
Episode6	0.0000	3:38:18.1237	98.79	99.07
Episode7	0.0000	2:06:49.2763	92.46	92.15
Episode8	0.0000	1:46:47.2618	78.62	77.82
Episode9	0.0000	2:21:50.0858	100.60	100.78
Episode10	0.0000	2:23:33.0429	96.96	96.82
Episode11	0.0000	1:54:56.5422	99.75	99.92
Episode12	0.0000	2:41:39.1821	93.59	93.47
Episode13	0.0000	3:00:37.4630	91.15	91.03
Episode14	0.0000	3:22:34.9253	91.43	91.16
Episode15	0.0000	2:02:30.3832	82.65	82.28
Episode16	0.0000	1:45:01.1711	81.35	80.96
Episode17	0.0000	1:38:53.2762	109.18	109.71
Episode18	0.0000	2:26:43.6028	98.98	99.11
Episode19	0.0000	2:12:09.6728	103.35	103.89
Episode20	0.0000	2:10:39.8486	108.88	109.47
Episode21	0.0000	2:36:56.2751	104.49	104.72
Episode22	0.0000	1:29:59.3160	81.87	81.22
Episode23	0.0000	1:39:07.5666	79.99	79.35
Episode24	0.0000	3:54:57.1437	120.67	121.76
Episode25	0.0000	1:39:57.6576	62.12	60.78
Episode26	0.0000	1:48:49.1918	90.67	90.63
Episode27	0.0000	3:50:24.2247	101.32	101.29
Episode28	0.0000	2:48:09.0666	90.17	90.05
Episode29	0.0000	3:10:13.7913	104.07	104.26
Episode30	0.0000	2:00:16.2543	89.30	89.11
Episode31	0.0000	2:39:29.5205	78.39	77.82
Episode32	0.0000	1:56:34.5893	84.08	83.62
Episode33	0.0000	2:34:30.7288	102.92	103.29
Episode34	0.0000	2:14:49.5050	73.74	72.89
Episode35	0.0000	4:38:20.1044	98.30	98.22
Episode36	0.0000	2:21:52.7695	127.03	128.24
Episode37	0.0000	2:41:58.1106	97.08	96.99
Episode38	0.0000	2:38:21.2866	95.34	95.32
Episode39	0.0000	1:49:52.9531	89.40	89.39
Episode40	0.0000	2:02:56.8994	63.57	62.16
Episode41	0.0000	1:32:42.2233	53.22	51.42
Episode42	0.0000	2:32:59.9469	100.31	100.52
Episode43	0.0000	4:30:03.4548	160.84	163.75
Episode44	0.0000	1:59:51.8262	90.64	90.43
Episode45	0.0000	1:50:58.7627	77.76	77.31
Episode46	0.0000	1:57:27.1096	87.83	87.87
Episode47	0.0000	2:15:25.8797	100.34	100.56
Episode48	0.0000	2:30:57.4702	97.17	97.15
Episode49	0.0000	1:28:25.5881	74.08	73.22
Episode50	0.0000	2:30:01.1398	58.77	57.24
Episode51	0.0000	3:20:41.9500	85.02	84.46
Episode52	0.0000	2:12:24.2547	88.29	87.86
Episode53	0.0000	1:13:05.3938	92.21	92.14
Episode54	0.0000	3:14:37.3994	91.17	90.86
Episode55	0.0000	2:33:06.0792	132.04	133.57
Episode56	0.0000	2:27:57.4280	99.27	99.46
Episode57	0.0000	2:07:32.9054	90.10	90.01
Episode58	0.0000	1:27:40.4488	77.53	76.78
Episode59	0.0000	1:51:47.9985	51.61	49.71
Episode60	0.0000	2:09:14.0312	94.65	94.65
Episode61	0.0000	1:54:49.5474	56.00	54.25
Episode62	0.0000	2:19:31.3768	99.91	100.12
Episode63	0.0000	1:11:09.0496	74.05	73.25
Episode64	0.0000	1:13:41.7620	87.54	87.28
Episode65	0.0000	2:24:57.7794	86.27	85.99
Episode66	0.0000	1:36:01.9217	70.32	69.31
Episode67	0.0000	3:45:30.1460	131.11	132.88
Episode68	0.0000	2:08:02.5476	65.29	64.02
Episode69	0.0000	2:34:01.8849	98.30	98.43
Episode70	0.0000	3:06:51.4093	102.26	102.50
Episode71	0.0000	2:28:11.3304	88.41	87.91
Episode72	0.0000	2:42:04.0481	141.00	142.88
Episode73	0.0000	2:27:48.1480	79.70	78.95
Episode74	0.0000	2:35:00.1497	61.90	60.52
Episode75	0.0000	2:51:18.2435	76.81	76.03
Episode76	0.0000	2:33:16.8227	84.28	83.72
Episode77	0.0000	2:27:30.7348	87.99	87.60
Episode78	0.0000	1:58:24.4678	76.32	75.61
Episode79	0.0000	2:32:03.6656	72.93	71.92
Episode80	0.0000	3:13:08.3754	140.11	142.00
Episode81	0.0000	3:52:51.6261	118.77	119.59
Episode82	0.0000	2:43:34.7078	86.58	86.44
Episode83	0.0000	2:16:38.4471	96.42	96.38
Episode84	0.0000	1:41:14.5699	66.23	65.00
Episode85	0.0000	3:40:26.3049	119.25	120.08
Episode86	0.0000	2:21:42.6698	99.82	100.03
Episode87	0.0000	2:00:21.3260	92.54	92.50
Episode88	0.0000	1:15:40.6386	60.11	58.63
Episode89	0.0000	2:10:28.5809	81.49	80.99
Episode90	0.0000	1:47:02.7284	76.32	75.60
Episode91	0.0000	2:15:54.2157	86.35	85.97
Episode92	0.0000	2:03:57.0780	78.81	77.96
Episode93	0.0000	2:06:37.9123	64.87	63.57
Episode94	0.0000	3:02:37.8450	107.17	107.78
Episode95	0.0000	2:37:22.3398	81.35	80.80
Episode96	0.0000	2:34:50.8411	105.00	105.37
Episode97	0.0000	2:07:09.2015	78.40	77.65
