Episode	Arbeitend	Wartend	Rüstend	Gestört	Relative_Belegung	Bearbeitete_BE	Leer	Pausiert	Minimaler_inhalt	Maximaler_inhalt
1	0	100	0	0	5.54541666666667	209	52.1944444444444	0	0	20
2	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
3	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
4	0	100	0	0	7.23552777777778	205	39.775	0	0	20
5	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
6	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
7	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
8	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
9	0	100	0	0	7.37172474906447	205	37.7638888888889	0	0	24
10	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
11	0	100	0	0	7.15658333333333	205	39.7611111111111	0	0	20
12	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
13	0	100	0	0	7.23552777777778	205	39.775	0	0	20
14	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
15	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
16	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
17	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
18	0	100	0	0	7.39708333333333	205	39.7638888888889	0	0	24
19	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
20	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
21	0	100	0	0	7.19541666666667	205	39.7777777777778	0	0	20
22	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
23	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
24	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
25	0	100	0	0	7.15658333333333	205	39.7611111111111	0	0	20
26	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
27	0	100	0	0	7.15625	205	39.7611111111111	0	0	20
28	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
29	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
30	0	100	0	0	7.91604166666667	205	39.7638888888889	0	0	20
31	0	100	0	0	7.035875	202	41.7652777777778	0	0	20
32	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
33	0	100	0	0	7.39775	205	39.7611111111111	0	0	26
34	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
35	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
36	0	100	0	0	7.39775	205	39.7611111111111	0	0	26
37	0	100	0	0	7.15658333333333	205	39.7611111111111	0	0	20
38	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
39	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
40	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
41	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
42	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
43	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
44	0	100	0	0	7.07575	205	39.7861111111111	0	0	20
45	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
46	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
47	0	100	0	0	7.21545833333333	205	39.7763888888889	0	0	20
48	0	100	0	0	7.15658333333333	205	39.7611111111111	0	0	20
49	0	100	0	0	7.15658333333333	205	39.7611111111111	0	0	20
50	0	100	0	0	7.03608333333333	205	41.7611111111111	0	0	20
